name,year,rating,metascore,num_votes
Rang De Basanti,2006,8.2,,113448.0
Lage Raho Munna Bhai,2006,8.1,,43575.0
Don,I) (2006,7.2,,34674.0
Fanaa,2006,7.2,,31167.0
Dhoom 2,2006,6.5,,24207.0
Khosla Ka Ghosla!,2006,8.3,,22461.0
Omkara,2006,8.1,,19384.0
Krrish,2006,6.4,68.0,18690.0
Phir Hera Pheri,2006,6.9,,18564.0
Kabhi Alvida Naa Kehna,2006,6.1,,18533.0
Golmaal: Fun Unlimited,2006,7.4,,15273.0
Bhagam Bhag,2006,6.4,,11296.0
Taxi No. 9 2 11: Nau Do Gyarah,2006,7.2,,9230.0
Vivah,2006,6.6,,9117.0
Chup Chup Ke,2006,6.8,,8853.0
Jaan-E-Mann: Let's Fall in Love... Again,2006,6.0,40.0,8035.0
Malamaal Weekly,2006,6.9,,5972.0
Dor,2006,7.9,,5729.0
Gangster,2006,7.1,,5540.0
36 China Town,2006,5.7,,4305.0
Humko Deewana Kar Gaye,2006,5.2,,3941.0
Zinda,2006,4.9,,3276.0
Kabul Express,2006,6.8,,3142.0
Baabul,2006,5.4,,3097.0
Pyaar Ke Side Effects,2006,6.7,,3008.0
Corporate,2006,6.5,,1941.0
Darna Zaroori Hai,2006,5.4,,1927.0
Apna Sapna Money Money,2006,5.3,,1892.0
Family: Ties of Blood,2006,5.6,,1852.0
Umrao Jaan,2006,5.5,,1851.0
Valley of Flowers,2006,7.0,,1772.0
Aathi,2006,3.8,,1560.0
Ahista Ahista,2006,7.0,,1474.0
Fight Club: Members Only,2006,3.3,,1385.0
Woh lamhe...,2006,6.5,,1282.0
Alag: He Is Different.... He Is Alone...,2006,3.8,,1164.0
Khan kluay,2006,6.0,,1142.0
Aksar,2006,4.8,,1135.0
I See You,2006,4.1,,1114.0
Shaadi Karke Phas Gaya Yaar,2006,4.0,,1062.0
The Killer,2006,4.7,,1055.0
Naksha,2006,3.3,,1055.0
Mere Jeevan Saathi,2006,3.5,,879.0
Aap Ki Khatir,2006,3.5,,856.0
Faryad moorcheha,2006,6.0,,846.0
Pyare Mohan,2006,3.3,,818.0
Sandwich,2006,5.4,,811.0
Saawan... The Love Season,2006,2.2,,785.0
Shaadi Se Pehle,2006,4.1,,731.0
Yun Hota Toh Kya Hota,2006,6.6,,664.0
Mixed Doubles,2006,6.5,,641.0
Anthony Kaun Hai?,2006,5.2,,613.0
My Faraway Bride,2006,4.7,,613.0
Deadline: Sirf 24 Ghante,2006,6.3,,577.0
"Tom, Dick, and Harry",2006,3.1,,551.0
Humko Tumse Pyaar Hai,2006,4.8,,548.0
Bas Ek Pal,2006,5.9,,499.0
Dil Diya Hai,2006,3.5,,469.0
Jawani Diwani: A Youthful Joyride,2006,2.9,,460.0
Tathastu,2006,4.5,,457.0
Gafla,2006,7.3,,449.0
Anuranan,2006,6.7,,371.0
Ankahee,2006,4.1,,362.0
Darwaza Bandh Rakho,2006,5.3,,336.0
Shiva,2006,3.9,,327.0
Rocky,2006,4.0,,317.0
Banaras,2006,6.2,,313.0
Aryan: Unbreakable,2006,4.4,,307.0
Teesri Aankh: The Hidden Camera,2006,2.6,,294.0
Jigyaasa,2006,3.5,,262.0
Zindaggi Rocks,2006,4.0,,237.0
Chingaari,2006,4.7,,186.0
Jaane Hoga Kya,2006,2.8,,166.0
Return to Rajapur,2006,6.2,,150.0
Holiday,2006,4.4,,138.0
