name,year,rating,metascore,num_votes
Alam Ara,1956,,,
Anokha Jungle,1956,,,
Awara Shehzadi,1956,,,
Dwarikadheesh,1956,,,
Harihar Bhakti,1956,,,
Qeemat,1956,,,
Kala Chor,1956,,,
Ankh Ka Nasha,1956,,,
Guru Ghantal,1956,,,
Naya Aadmi,1956,,,
Baghi Sardar,1956,,,
Hotel,1956,,,
Pyaas,1956,,,
Chandrakanta,1956,,,
Sultana Daku,1956,,,
Roop Kumari,1956,,,
Panna,1956,,,
Caravan,1956,,,
Fighting Queen,1956,,,
Lalten,1956,,,
Fifty Fifty,1956,,,
Shrimati 420,1956,,,
Malika,1956,,,
Zindagi,1956,,,
Ram Navami,1956,,,
Lalkaar,1956,,,
Dassehra,1956,,,
Amarsinh Rathod,1956,,,
Makkhee Choos,1956,,,
Anuraag,1956,,,
Badal Aur Bijli,1956,,,
Sajani,1956,,,
Gauri Puja,1956,,,
Jungle Queen,1956,,,
Raj Rani Meera,1956,,,
Arab Ka Saudagar,1956,,,
Sati Naag Kanya,1956,,,
Zindagi Ke Mele,1956,,,
Talwar Ka Dhani,1956,,,
Taj Aur Talwar,1956,,,
Insaaf,1956,,,
Sipahsalar,1956,,,
Taksaal,1956,,,
Ayodhyapati,1956,,,
Sudarshan Chakra,1956,,,
Sati Ansuya,1956,,,
Hamara Watan,1956,,,
Diwali Ki Raat,1956,,,
Dashera,1956,,,
Basant Panchami,1956,,,
Char Minar,1956,,,
Aabroo,1956,,,
Delhi Durbar,1956,,,
Kismet,1956,,,
Jayshree,1956,,,
Char Dost,1956,,,
Ramshastri Ka Nyay,1956,,,
Passing Show,1956,,,
Kar Bhala,1956,,,
Mr. Lambu,1956,,,
Mr. Chakram,1956,,,
Shoharat,1956,,,
Dhola Maru,1956,,,
Dhake Ki Malmal,1956,,,
Rajdhani,1956,,,
Patrani,1956,,,
Inquilab,1956,,,
Mother India,1957,8.1,53.0,8665.0
Pyaasa,1957,8.5,,5672.0
Do Ankhen Barah Haath,1957,8.4,,1693.0
Naya Daur,1957,8.1,,1085.0
Paying Guest,1957,7.1,,225.0
Nau Do Gyarah,1957,6.9,,139.0
Tumsa Nahin Dekha,1957,7.2,,119.0
Pardesi,1957,7.1,,103.0
Sharada,1957,6.5,,101.0
Musafir,1957,7.6,,98.0
Ab Dilli Dur Nahin,1957,7.6,,80.0
Apradhi Kaun?,1957,7.5,,68.0
Bhabhi,1957,6.7,,46.0
Gateway of India,1957,7.2,,42.0
Baarish,1957,7.2,,37.0
Ek Saal,1957,7.3,,37.0
Miss Mary,1957,6.7,,34.0
Dekh Kabira Roya,1957,7.4,,29.0
Kath Putli,1957,6.9,,28.0
Mirza Sahiban,1957,7.3,,27.0
Bandi,1957,6.2,,27.0
Aasha,1957,6.4,,22.0
Mr. X,1957,5.5,,20.0
Changez Khan,1957,7.2,,19.0
Dushman,1957,7.1,,17.0
Nausherwan-E-Adil,1957,6.4,,17.0
Miss India,1957,7.5,,17.0
Inspector,1957,5.6,,15.0
Suvarna Sundari,II) (1957,7.1,,15.0
Mai Baap,1957,6.8,,14.0
Ek Gaon Ki Kahani,1957,6.4,,14.0
Sheroo,1957,6.8,,12.0
Neel Mani,1957,6.1,,12.0
Hum Panchhi Ek Daal Ke,1957,6.7,,11.0
Hill Station,1957,7.2,,11.0
Abhimaan,1957,7.1,,10.0
Arpan,1957,6.9,,9.0
Johnny-Walker,1957,6.0,,9.0
Fashion,1957,8.0,,9.0
Champakali,1957,5.5,,8.0
Aaravalli,1957,5.9,,7.0
Do Roti,1957,5.9,,7.0
Bada Bhai,1957,5.1,,7.0
Payal,1957,6.1,,7.0
Naag Mani,1957,6.5,,6.0
Janam Janam Ke Phere: Alias Sati Anapurna,1957,5.7,,6.0
Narsi Bhagat,1957,6.5,,6.0
Kitna Badal Gaya Insaan,1957,6.2,,5.0
Agra Road,1957,4.8,,5.0
Shahzaadi,1957,,,
Aadhi Roti,1957,,,
Bansari Bala,1957,,,
Beti,1957,,,
Hamara Haj,1957,,,
Jahazi Lutera,1957,,,
Maya Nagri,1957,,,
Mehfil,1957,,,
Pehli Mulaqat,1957,,,
Pak Daman,1957,,,
Sati Pariksha,1957,,,
Silver King,1957,,,
Perveen,1957,,,
Sakshi Gopal,1957,,,
Jai Ambe,1957,,,
Gypsy,1957,,,
Chamak Chandni,1957,,,
Sher-E-Baghdad,1957,,,
Shahi Bazar,1957,,,
Jeevan Saathi,1957,,,
Jannat,1957,,,
Coffee House,1957,,,
Shyam Ki Jogan,1957,,,
Samundar,1957,,,
Zamana,1957,,,
Ram Hanuman Yuddha,1957,,,
Mohini,1957,,,
Krishna Sudama,1957,,,
Chandi Pooja,1957,,,
Mera Salaam,1957,,,
Captain Kishore,1957,,,
Naag Padmani,1957,,,
Maharani,1957,,,
Begunah,1957,,,
Naya Zamana,1957,,,
Ram Lakshman,1957,,,
Alladdin Laila,1957,,,
Diler Daku,1957,,,
Garma Garam,1957,,,
Bade Sarkar,1957,,,
Duniya Rang Rangili,1957,,,
Alladdin Ka Chirag,1957,,,
Laxmi,1957,,,
Pawan Putra Hanuman,1957,,,
Naag Lok,1957,,,
Taj Poshi,1957,,,
Paisa,1957,,,
Miss Bombay,1957,,,
Chenghiz Khan,1957,,,
Qaidi,1957,,,
Bhakta Dhruva,1957,,,
Shesh Naag,1957,,,
Raja Vikram,1957,,,
Paristan,1957,,,
Laxmi Pooja,1957,,,
Khuda Ka Banda,1957,,,
Mumtaz Mahal,1957,,,
Sant Raghu,1957,,,
Aadhi Raat,1957,,,
Ustad,1957,,,
Chhote Babu,1957,,,
Talaash,1957,,,
Hazaar Pariyan,1957,,,
Patal Pari,1957,,,
Anjali,1957,,,
Yahudi Ki Ladki,1957,,,
Lal Batti,1957,,,
Jaani Dushman,1957,,,
Ek Jhalak,1957,,,
Chalti Ka Naam Gaadi,1958,8.0,,1478.0
Madhumati,1958,8.0,,1243.0
Kala Pani,1958,7.2,,277.0
Yahudi,1958,7.2,,205.0
Howrah Bridge,1958,7.0,,195.0
Bhookailas,1958,7.2,,141.0
Solva Saal,1958,7.1,,139.0
Phir Subha Hogi,1958,7.5,,80.0
Parvarish,1958,6.8,,70.0
12 O'Clock,1958,7.1,,67.0
Sadhna,1958,7.2,,65.0
Indrani,1958,7.3,,56.0
Dilli Ka Thug,1958,6.8,,54.0
Lajwanti,1958,7.3,,42.0
Amar Deep,1958,6.6,,37.0
Adalat,1958,6.9,,36.0
Phagun,1958,6.6,,35.0
Sone Ki Chidiya,1958,6.0,,32.0
Post Box 999,1958,6.4,,29.0
